Jugador: alonso | Evento: Ruleta | Cantidad: $10 | Resultado: Perdió | Dinero restante: $490
Jugador: alonso | Evento: Blackjack | Cantidad: $10 | Resultado: Perdió | Dinero restante: $480
Jugador: alonso | Evento: Blackjack | Cantidad: $10 | Resultado: Perdió | Dinero restante: $470
Jugador: alonso | Evento: Craps | Cantidad: $10 | Resultado: Perdió | Dinero restante: $460
Jugador: alonso | Evento: Blackjack | Cantidad: $10 | Resultado: Ganó | Dinero restante: $470
Jugador: alonso | Evento: Hi-Lo | Cantidad: $10 | Resultado: Perdió | Dinero restante: $460
Jugador: alonso | Evento: Hi-Lo | Cantidad: $40 | Resultado: Perdió | Dinero restante: $420
Jugador: alonso | Evento: Hi-Lo | Cantidad: $10 | Resultado: Perdió | Dinero restante: $410
Jugador: alonso | Evento: Hi-Lo | Cantidad: $40 | Resultado: Perdió | Dinero restante: $370
Jugador: alonso | Evento: Hi-Lo | Cantidad: $10 | Resultado: Perdió | Dinero restante: $360
Jugador: alonso | Evento: Hi-Lo | Cantidad: $10 | Resultado: Perdió | Dinero restante: $350
Jugador: alonso | Evento: Hi-Lo | Cantidad: $200 | Resultado: Ganó | Dinero restante: $550
Jugador: alonso | Evento: Hi-Lo | Cantidad: $20 | Resultado: Ganó | Dinero restante: $570
Jugador: alonso | Evento: Hi-Lo | Cantidad: $10 | Resultado: Perdió | Dinero restante: $560
Jugador: alonso | Evento: Hi-Lo | Cantidad: $20 | Resultado: Perdió | Dinero restante: $540
